ArrayTaskID   Angles
1             -90.00000
2             -85.00000
3             -80.00000
4             -75.00000
5             -70.00000
6             -65.00000
7             -60.00000
8             -55.00000
9             -50.00000
10             -45.00000
11             -40.00000
12             -35.00000
13             -30.00000
14             -25.00000
15             -20.00000
16             -15.00000
17             -10.00000
18             -5.00000
19             0.00000
20             5.00000
21             10.00000
22             15.00000
23             20.00000
24             25.00000
25             30.00000
26             35.00000
27             40.00000
28             45.00000
29             50.00000
30             55.00000
31             60.00000
32             65.00000
33             70.00000
34             75.00000
35             80.00000
36             85.00000
37             90.00000
